,x_cord,y_cord,Condition
120,"620,622,626,630,634,638,642,646,652,658,670,681,694,706,716,724,734,748,760,772,784,798,814,832,847,858,869,875,878,880,882,885,888,889,889","573,568,553,536,520,504,493,481,464,452,440,427,415,404,394,386,380,372,364,353,343,334,325,318,312,308,304,300,300,300,299,299,298,298,298",1
121,,,
122,,,
123,,,
124,"642,643,645,649,650,648,644,638,627,616,605,596,579,566,554,538,522,513,503,496,490,486,483,480,478,475,472,469,466,462,460,454,447,438,432,429,427,424,422,419,416,410,402,393,388,384,382","571,566,559,539,528,517,506,492,479,466,456,449,440,434,425,411,398,388,378,369,362,358,355,352,350,347,344,341,339,334,333,329,326,322,318,316,315,314,313,312,310,309,308,306,306,306,306",2
125,,,
126,,,
127,,,
128,"618,604,588,523,484,462,449,443,440,437,435,431,428,425,422,418,415,412,410,409,405,402,400,396,396,394,392,391,390,389","556,538,518,449,412,394,385,379,374,370,366,360,355,352,346,339,332,330,327,324,320,317,313,310,309,308,306,305,304,304",2
129,,,
130,,,
131,,,
132,"630,631,637,653,666,678,687,698,708,720,734,754,767,782,801,823,852,859,870,881,882,886,886,888,890,892,894,895,898,898,900,901,902,902","558,553,542,519,503,491,482,471,461,451,438,420,407,394,378,363,344,339,329,320,316,311,309,308,304,302,299,296,292,290,288,288,287,287",1
133,,,
134,,,
135,,,
136,"633,632,631,627,624,620,617,615,612,600,588,573,558,541,524,507,490,473,453,445,442,438,434,430,425,422,418,416,415,414,413,410,406,402,401,398,397,396,395,394,392,392,392,392","571,569,567,558,550,539,532,525,518,502,488,475,464,453,444,432,421,414,406,403,400,397,393,390,383,379,375,372,370,366,362,352,340,329,320,310,305,302,298,294,291,288,287,286",2
137,,,
138,,,
139,,,
140,"644,650,656,661,666,672,689,702,712,720,733,746,759,770,784,792,800,811,823,836,848,861,872,875,878,882,885,888,890,893,894,894,896,900,901,904","548,536,525,517,511,504,489,476,465,454,442,429,417,404,388,378,368,358,347,336,326,318,312,308,306,302,300,298,296,295,295,294,294,297,298,298",2
141,,,
142,,,
143,,,
144,"625,625,625,624,624,623,623,624,628,636,648,666,684,701,718,736,749,762,775,789,801,808,812,821,826,830,834,838,842,846,850,864,874,880,883,886,890,892,895,898,900,902,903,904","574,572,566,560,556,553,548,542,532,520,505,488,470,452,436,417,404,390,376,364,352,345,338,331,328,325,322,319,317,314,311,306,302,300,299,298,297,296,296,296,297,297,297,297",1
145,,,
146,,,
147,,,
148,"629,630,632,634,636,638,639,640,641,644,646,649,652,656,659,662,665,670,676,684,699,716,734,750,763,775,794,800,818,829,841,852,864,874,880,882,884,885,887,891,893,894","580,570,558,547,537,529,523,519,512,507,500,495,488,481,474,468,462,454,444,434,422,408,396,383,372,364,351,347,336,330,326,322,318,314,311,308,307,307,305,302,301,301",2
149,,,
150,,,
151,,,
152,"639,639,639,642,646,649,652,656,660,663,671,686,699,711,724,735,746,750,752,753,757,760,762,766,768,771,774,777,780,781,776,772,764,747,713,605,525,449,396,362,346,342,340,337,334,337,342,348,354,358,361,365,369,372,373,374,377,379,382,385,387,389,392,392,392","568,564,558,541,530,520,515,506,497,487,475,458,446,433,420,410,404,398,397,395,391,387,384,381,378,375,372,368,366,363,363,363,363,363,366,383,398,410,410,404,402,402,400,398,394,335,331,328,325,323,320,319,318,316,315,314,312,309,306,304,301,298,291,288,286",1
153,,,
154,,,
155,,,
156,"608,610,610,613,620,630,644,662,679,695,709,725,751,768,787,806,823,834,842,844,848,850,852,854,854,855,855,855,856,858,862,864,867,869,873,876,880,883,886,889,890,892,894,897,898,899","563,560,558,552,542,531,517,502,488,472,460,447,424,411,398,386,376,369,364,360,356,352,350,347,345,344,342,339,335,332,329,326,324,321,318,315,312,308,306,304,302,300,298,296,294,292",2
157,,,
158,,,
159,,,
160,"619,620,621,622,624,633,646,663,677,693,710,726,739,758,770,774,776,778,779,780,780,780,780,775,760,735,706,660,612,564,514,493,477,466,455,444,433,422,412,408,404,400,395,387,382,378,374,371,370,370,370,370,370,370,372,374,375,376","580,578,577,576,575,566,553,536,522,507,491,474,457,435,422,414,410,407,404,402,400,397,393,390,386,382,378,381,382,382,380,376,371,366,362,356,351,347,342,339,336,332,328,324,322,318,316,311,308,306,304,301,298,296,292,290,290,289",1
161,,,
162,,,
163,,,
164,"616,618,620,622,625,629,631,632,634,638,640,643,647,652,658,661,665,668,672,674,677,680,684,688,691,694,698,701,704,706,712,715,718,720,724,726,729,734,742,756,762,778,788,798,809,819,828,842,854,862,869,874,878,881,884,888,890,894,894,895","579,578,576,572,569,564,561,558,553,550,546,543,538,530,524,520,516,512,508,504,502,499,494,490,486,482,477,474,471,467,461,458,454,452,449,446,442,437,428,414,408,393,382,374,364,352,344,330,322,314,306,301,298,295,292,288,286,284,283,283",2
165,,,
166,,,
167,,,
168,"632,633,644,657,672,688,700,719,724,742,756,769,780,791,801,809,815,822,826,828,830,831,834,839,847,853,857,858,862,864,867,871,874,877,880,883,886,888,890,891,892,893,894","580,580,566,546,527,510,496,477,471,450,436,424,411,399,387,375,363,348,344,340,339,338,338,338,336,334,330,329,328,326,324,322,318,316,313,310,307,305,304,302,301,300,300",2
169,,,
170,,,
171,,,
172,"638,640,649,664,674,690,704,722,738,750,761,770,773,778,784,792,804,815,824,828,830,835,836,840,848,860,872,880,884,886,890,893,896,898,901,903,904","559,554,542,523,511,497,483,468,455,442,430,414,404,393,382,370,359,348,341,336,333,328,327,324,321,318,314,310,308,306,306,305,304,302,300,300,298",2
173,,,
174,,,
175,,,
176,"621,618,610,590,566,535,511,495,479,472,467,460,452,445,444,442,442,442,478,559,660,762,865,944,942,938,934,930,927,926,925,916,864,784,688,577,476,404,370,367,366,365,364,361,358,356,355,355,355,358,360,364,366,367,368,368,368,369,370,370,371","563,556,548,528,510,493,480,467,451,444,438,430,419,406,403,399,398,397,376,342,309,281,252,232,281,284,288,292,294,295,295,297,310,328,350,364,372,375,372,370,368,365,362,359,354,350,346,342,338,334,330,326,322,319,316,315,311,307,304,303,302",2
177,,,
178,,,
179,,,
180,"632,632,633,636,638,642,644,646,646,648,650,653,656,658,660,662,665,669,679,692,706,726,744,759,769,776,784,794,799,806,814,824,833,842,851,854,858,862,864,867,868,869,872,874,877,882,884,886,888,890,892,892,893,894","558,554,548,536,524,514,506,500,494,487,475,468,461,454,449,444,438,432,418,408,398,386,375,368,364,360,357,352,349,346,342,339,335,332,328,326,323,321,318,316,315,314,311,308,305,301,298,295,294,293,292,291,291,291",1
181,,,
182,,,
183,,,
